Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
A Revolução Fintech,,,,,"Susanne Chishti, Janos Barberis","Chishti, Susanne",,,,,,Alta Books,,2017/01/24,2017,,,,,"O primeiro livro globalmente colaborativo sobre Fintech. A Revolução FinTech é o guia líder para a revolução da tecnologia financeira — incluindo o rompimento, a inovação e as oportunidades lucrativas. Criado por dois proeminentes formadores de opinião em FinTech e em espaço de investimento associado, este guia inovador mostra os principais influenciadores da indústria FinTech em um único volume informativo. Empreendedores e investidores encontrarão aqui um recurso inestimável para descobrir e maximizar seu ROI neste mercado em crescimento. Este livro inspirador trata cada grande desenvolvimento industrial em profundidade, apresentando conhecimentos em primeira mão e lições aprendidas por profissionais de vanguarda. Este primeiro volume completo sobre o estado global de FinTech lhe dá uma vantagem competitiva distinta, devido a: Ilustrar os prós e contras da indústria, com as figuras líderes no centro da ação, Detalhar as dinâmicas únicas do mercado da revolução FinTech, Iluminar o potencial diverso do setor e as várias maneiras que ele pode impactar indústrias relacionadas, Mostrar a você, em primeira mão, como outros investidores e empreendedores chegaram ao topo desse ambiente dinâmico, Explicar temas-chave, como economia de API, biometria comportamental, blockchain, moedas digitais, inclusão financeira, hubs de fintech, pagamentos móveis, algoritmos de previsão e robo-advisors. Esteja você respondendo ao rompimento ou querendo lucrar com inovação, A Revolução FinTech é para você!",,,,,,,,,,,320,,,,,,português,,,,,,9788550800622,,0,4.500000,,Read,,,,2021/03/21,,,,,,0,,,,,2021/03/11 13:55:04.205432057,,,,,,,Emprestado do Eliseu.,A0xWswEACAAJ,Profissional,0,,0,,http://images.amazon.com/images/P/8550800627.01Z.jpg,"[{""status"":0,""activityYear"":2021,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2021\/03\/21 01:18:04.976107001"",""activityDate"":""2021\/03\/21""}]"
A startup enxuta,,,,,Eric Ries,"Ries, Eric",,,,,,Leya,,2012/05/01,2012,,,,Business & Economics,"Como os empreendedores utilizam a inovação contínua para criar empresas extremamente bem-sucedidas Na vanguarda do empreendedorismo do século 21, Eric Ries criou uma abordagem revolucionária para a administração, que gerou um movimento que está transformando a maneira como os novos produtos são criados, desenvolvidos e lançados. Esses princípios se aplicam a todos aqueles que procuram construir produtos verdadeiramente novos sem desperdício, que podem ser utilizados tanto por startups de empresas de garagem quanto por inovadores presentes nas grandes empresas. Ries, que é empreendedor residente na Harvard Business School, também define desperdício como ""toda atividade que não contribui para se aprender a respeito dos clientes"". Trazendo histórias da vida real e lições aprendidas de algumas das empresas mais dinâmicas da atualidade, o autor descreve um plano para que cada um possa executar os princípios fundamentais da startup enxuta em qualquer projeto.",,,,,,,,,,,288,,,,,,português,,,,,,9788581780139,,1,5.000000,,Read,,,,2018/11/02,,,,,,0,,,,,2018/08/03 14:28:49.595348954,,,,,,,Fila 0 | Coluna 3 | Zona 11,vLiUj1h5fhkC,Pessoal,0,,0,,,
Ada Lovelace,,,Infantil,1,Ciranda Cultural,"Cultural, Ciranda",,,,,,Ciranda Cultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.000000,,Read,,0,,2022/04/12,,,,,,0,,,,,2022/04/12 21:08:12.315327048,,,,,,,,,Jéssica,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/0E6DE983-BB65-4484-BC4F-5766F1637A3F,"[{""status"":0,""activityYear"":2022,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2022\/04\/12 21:08:12.362462043"",""activityDate"":""2022\/04\/12""}]"
ADOBE FLEX 3 TREINAMENTO DIRETO DA FONTE,,,,,"JEFF TAPPER, MICHAEL LABRIOLA","TAPPER, JEFF",,,,,,Alta Books,,,,,,,,Este livro é destinado a estudantes ativos. A obra oferece instrução para proporcionar ao leitor um embasamento dos fundamentos do programa. O livro contém horas de instrução sobre os programas de software da Adobe. Elaborado para ensinar as técnicas que o leitor precisa para criar projetos de nível profissional.,,,,,,,,,,,576,,,,,,português,,,,,,9788576083399,,0,1.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:48:23.400524973,,,,,,,,AxvaPwAACAAJ,Profissional,0,,,,http://images.amazon.com/images/P/8576083396.01Z.jpg,
Agile,,Desenvolvimento de software com entregas frequentes e foco no valor de negócio,,,André Faria Gomes,"Gomes, André Faria",,,,,,Editora Casa do Código,,2014/04/16,2014,,,,Computers,"As diversas metodologias ágeis que formam o tão falado ""Agile"" são hoje uma das maneiras mais eficientes de guiar um projeto do ínicio ao fim, sem complicações e mantendo o tempo inteiro o foco na entrega de valor para o cliente. Nesse livro, André Faria Gomes, renomado coach e líder de equipes, explica como os diferentes sabores de Agile podem fazer um projeto de sucesso. Aprenda como o Kanban, XP e Scrum podem ser usados em conjunto e onde cada um dos métodos se complementa, além de conhecer dicas para adotar as metodologias no seu dia a dia de trabalho.",,,,,,,,,,,176,,,,,,inglês,,,,,,9788566250992,,0,3.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 02:11:08.207839965,,,,,,,,zHCCCwAAQBAJ,Profissional,0,,,,,
Agile para todos,,"Criando empresas rápidas, flexíveis e com foco no cliente",,,Matt Lemay,"Lemay, Matt",,,,,,Novatec Editora,,2019/07/31,2019,,,,Computers,"O movimento Ágil oferece respostas reais e práticas à pergunta que mantém muitos líderes de empresas acordados durante a noite: Como continuar tendo sucesso em um mundo imprevisível, de mudanças rápidas? O Agile já transformou o modo como as empresas modernas desenvolvem e entregam softwares. Este livro prático mostra como organizações inteiras – de gerentes de produto e engenheiros a profissionais de marketing e executivos – podem pôr o Agile para funcionar. O autor Matt LeMay explica o Agile com termos claros, sem jargões, e apresenta passos concretos, que podem ser colocados em ação, para ajudar qualquer equipe a colocar os valores e princípios Ágeis em prática. Exemplos de várias empresas, incluindo pequenas organizações sem fins lucrativos a corporações financeiras globais, dão vida às realidades concretas do Agile em diferentes mercados e áreas de atuação.Entenda exatamente o que é o Agile e por que ele é importante.Use o Agile para lidar com as necessidades e os objetivos específicos de sua empresa.Leve a ideia de foco no cliente da teoria à prática.Pare de perder tempo com reuniões para ""informar e criticar"" e comece a tomar decisões melhores.Crie um ciclo harmonioso de aprendizado, colaboração e entrega.Aprenda com especialistas em Agile, de empresas como IBM, Spotify e Coca-Cola.",,,,,,,,,,,176,,,,,,português,,,,,,9788575227909,,1,4.000000,,Read,,,,2019/09/20,,,,,,0,,,,,2019/09/17 16:53:24.015684008,,,,,,,Fila 0 | Coluna 1 | Zona 19,eV-mDwAAQBAJ,Profissional,0,,0,,,"[{""status"":0,""activityYear"":2019,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2019\/09\/20 01:25:34.780686974"",""activityDate"":""2019\/09\/20""}]"
Ajax com jQuery,,Requisições AJAX com a simplicidade de jQuery,,,Maurício Samy Silva,"Silva, Maurício Samy",,,,,,Novatec Editora,,2009/07/23,2009,,,,Computers,"'Ajax com jQuery' é uma combinação das funcionalidades do AJAX com a simplicidade que jQuery proporciona ao desenvolvimento com JavaScript. Este livro apresenta uma visão geral do AJAX segundo a maneira tradicional de desenvolvimento, recapitulando seus conceitos básicos, dissertando sobre os métodos e propriedades do objeto XMLHttpRequest e explicando passo a passo os scripts que, reunidos, formam uma biblioteca mínima para uma requisição AJAX.",,,,,,,,,,,328,,,,,,português,,,,,,9788575221990,,0,3.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:26:51.361680030,,,,,,,,iFGiDQAAQBAJ,Profissional,0,,,,,
Akka & Akka Streams,,Construa sistemas distribuídos com atores,,,Alexandre Eleutério Santos Lourenço,"Lourenço, Alexandre Eleutério Santos",,,,,,Casa do Código,,2021/12/06,2021,,,,Computers,"No mundo em que vivemos, com uma quantidade de dados cada vez maior trafegando para todos os lados, precisamos entender conceitos que nos permitam processar esses dados com agilidade. Isso é especialmente verdade em integrações, nas quais constantemente temos que sincronizar dados de um sistema A para um sistema B. Neste livro, Alexandre Lourenço abordará arquiteturas distribuídas simulando sistemas reais, como integrações com sistemas de arquivos, comunicação com Kafka e bancos de dados, entre outros. Você construirá uma API REST fictícia de um e-commerce e entenderá como os frameworks Akka e Akka Streams, os paradigmas de streams e de atores podem ajudar a cumprir essa missão.",,,,,,,,,,,295,,,,,,inglês,,,,,,9786586110913,,1,5.000000,,Read,,0,,2022/05/07,,,,,,0,,,,,2022/04/21 22:06:27.642595052,,,,,,,A linguagem usada é Scala.,STVTEAAAQBAJ,Profissional,0,0,0,,,"[{""status"":0,""activityYear"":2022,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2022\/05\/07 17:42:26.860015988"",""activityDate"":""2022\/05\/07""}]"
Algoritmos,,,,,"Sanjoy Dasgupta, Christos Papadimitriou, Umesh Vazirani","Dasgupta, Sanjoy",,,,,,McGraw-Hill,,,2009,,,,,"Testado por cerca de uma década em cursos universitários e adaptado às necessidades dos estudantes, 'Algoritmos' explica os fundamentos de algoritmos em uma linha histórica. A ênfase está na compreensão da idéia matemática por trás de cada algoritmo, de uma forma intuitiva, rigorosa, sem ser formal. Tópicos avançados cuidadosamente escolhidos podem ser adequados aos cursos, de acordo com a necessidade do professor. Um capítulo opcional sobre algoritmos quânticos para indústria provê uma perspectiva geral sobre este tópico.",,,,,,,,,,,320,,,,,,português,,,,,,9788577260324,,0,5.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 02:00:46.033612966,,,,,,,,74SmPgAACAAJ,Profissional,0,,,,http://images.amazon.com/images/P/8577260321.01Z.jpg,
Amazon Web Services em ação,,,,,"Andreas Wittig, Michael Wittig","Wittig, Andreas",,,,,,Novatec Editora,,2015/12/16,2015,,,,Computers,"Datacenters físicos requerem um grande volume de equipamentos e seu gerenciamento consome tempo e recursos. Se você precisa de um datacenter, mas não quer construir um por conta própria, a Amazon Web Services pode ser a solução. Seja na análise de dados em tempo real, no desenvolvimento de software como serviço ou na execução de um site de e-commerce, a AWS fornece uma plataforma baseada em nuvem confiável e com serviços escaláveis. Amazon Web Services em ação o apresentará à computação, ao armazenamento e ao uso de rede na nuvem da AWS. Primeiro será dada uma visão geral da computação em nuvem e então começaremos a configurar sua conta. Você aprenderá como automatizar sua infraestrutura por meio da API da AWS, para controlar cada parte da plataforma. Em seguida, conhecerá opções e técnicas para armazenar seus dados. Aprenderá também como isolar seus sistemas, usando redes privadas para aumentar a segurança. Para concluir, este livro o ensinará como projetar considerando a alta disponibilidade e a tolerância a falhas. Conteúdo •               Visão geral de conceitos e padrões de nuvem •               Implantação (deploy) de aplicativos na AWS •               Integração de serviços pré-construídos da Amazon •               Gerenciamento de servidores no EC2 para redução de custos Escrito para desenvolvedores e engenheiros DevOps que estejam transferindo aplicações distribuídas para a plataforma AWS.",,,,,,,,,,,512,,,,,,português,,,,,,9788575224694,,0,5.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:48:23.411736011,,,,,,,,Ez80CwAAQBAJ,Profissional,0,,,,,
